"End of Period","Credit Number","Region","Country / Economy Code","Country / Economy","Borrower","Credit Status","Service Charge Rate","Currency of Commitment","Project ID","Project Name","Original Principal Amount (US$)","Cancelled Amount (US$)","Undisbursed Amount (US$)","Disbursed Amount (US$)","Repaid to IDA (US$)","Due to IDA (US$)","Exchange Adjustment (US$)","Borrowers Obligation (US$)","Sold 3rd Party (US$)","Repaid 3rd Party (US$)","Due 3rd Party (US$)","Credits Held (US$)","First Repayment Date","Last Repayment Date","Agreement Signing Date","Board Approval Date","Effective Date (Most Recent)","Closed Date (Most Recent)","Last Disbursement Date"
"2024-09-30","IDA24460","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002938","AGRIC. RES & TRG. PHASE I","25040000","58608.13","0","25186932.25","26069474.28","-0.02","0","-0.02","0","0","0","-0.02","2003-03-01","2032-09-01","1993-03-26","1992-12-15","1993-08-31","2000-09-30","2001-05-30"
"2024-09-30","IDA24930","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002953","PRIMARY EDUC. & TEAC","52600000","558365.04","0","52085061.75","55246870.96","-0.03","0","-0.03","0","0","0","-0.03","2003-08-15","2033-02-15","1993-06-22","1993-05-13","1993-11-10","2001-06-30","2001-11-20"
"2024-09-30","IDA24960","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002962","FINAN SECT ADJUST CR","100000000","968691.94","0","101737591.72","105941776.1","0","0","0","0","0","0","0","2003-08-15","2033-02-15","1993-06-22","1993-05-20","1993-08-26","1997-06-30","1998-05-29"
"2024-09-30","IDA24961","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002962","FINAN SECT ADJUST CR","1050000","0","0","1100981.18","1116803.95","0","0","0","0","0","0","0","2003-08-15","2033-02-15","1994-03-24","1994-01-14","1994-08-10","1995-03-24","1995-01-06"
"2024-09-30","IDA25830","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002957","UG-Small Towns Water (BD FY94)","42300000","484669.7","0","40939706.01","44190660.5","0.03","0","0.03","0","0","0","0.03","2004-06-01","2033-12-01","1994-05-03","1994-03-17","1995-08-01","2003-06-30","2004-07-29"
"2024-09-30","IDA25870","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002923","TRANSPORT REHABILITATION PROJECT","75000000","21232420.82","0","53329969.18","57429905.98","-0.01","0","-0.01","0","0","0","-0.01","2004-08-01","2034-02-01","1994-05-03","1994-03-25","1994-11-29","2000-12-31","2001-08-13"
"2024-09-30","IDA26030","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002963","Sexually Transmitted Infections","50000000","302249.37","0","48880768.76","53034565.12","0.01","0","0.01","0","0","0","0.01","2004-08-01","2034-02-01","1994-05-03","1994-04-12","1994-07-22","2002-12-31","2004-05-19"
"2024-09-30","IDA26080","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002967","SAC II","80000000","0","0","85735945.09","84988177.85","0","0","0","0","0","0","0","2004-11-01","2034-05-01","1994-06-22","1994-05-10","1994-11-18","1995-12-31","1996-03-27"
"2024-09-30","IDA26081","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002967","SAC II","600000","0","0","592006.79","588153.48","0","0","0","0","0","0","0","2004-11-01","2034-05-01","1995-03-28","1994-12-08","1995-06-01","1996-03-28","1996-03-27"
"2024-09-30","IDA26090","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002977","Cotton Subsector Development Project","14000000","69626.87","0","13775402.67","14625775.42","0.01","0","0.01","0","0","0","0.01","2004-08-01","2034-02-01","1994-06-22","1994-05-10","1994-11-18","2001-12-31","2002-11-27"
"2024-09-30","IDA26790","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002971","District Health","45000000","1116890.04","0","40505319.42","44298294.01","-0.02","0","-0.02","0","0","0","-0.02","2005-03-01","2034-09-01","1995-04-19","1995-02-07","1995-07-17","2002-12-31","2004-05-19"
"2024-09-30","IDA27360","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002976","INST. CAPACITY BLDG","36400000","620491.04","0","33427467.19","36112049.92","0","0","0","0","0","0","0","2005-09-01","2035-03-01","1995-06-09","1995-06-01","1995-08-01","2002-06-30","2003-10-24"
"2024-09-30","IDA27770","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002978","EMCBP","11800000","990077.79","0","9326675.88","10097267.08","0.01","0","0.01","0","0","0","0.01","2006-03-01","2035-09-01","1995-11-10","1995-09-14","1996-02-14","2001-06-30","2002-01-08"
"2024-09-30","IDA27980","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P035634","PRIV. SECTOR COMPETI","12300000","3421034.31","0","8058302","8805137.86","0","0","0","0","0","0","0","2006-03-01","2035-09-01","1996-01-30","1995-12-14","1996-02-14","2002-12-31","2003-11-12"
"2024-09-30","IDA28450","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Cancelled","0.75","XDR","P037582","AG SEC MGT PROJECT","17900000","17900000","0","0","0","0","0","0","0","0","0","0","2006-10-01","2036-04-01","1996-05-02","1996-04-16","","2001-12-31",""
"2024-09-30","IDA29090","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Cancelled","0.75","XDR","P046836","UG-Lake Victoria Env SIL (FY97)","673.03","673.03","0","0","0","0","0","0","0","0","0","0","2006-09-01","2036-03-01","1996-09-10","1996-07-30","1997-03-05","2005-12-31","2004-04-02"
"2024-09-30","IDA29091","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P046836","UG-Lake Victoria Env SIL (FY97)","4500000","489508.51","0","4737054.01","1344034.74","3046268.93","0","3046268.93","0","0","0","3046268.93","2012-09-01","2042-03-01","2002-11-22","2002-07-09","2003-12-17","2005-12-31","2007-02-27"
